speech_id,keybert_keywords
CREC-2023-01-09-pt1-PgH76-51,"['oregon', 'minute gentleman', 'yield minute', 'ways means committee', 'blumenauer capable member']"
CREC-2023-01-09-pt1-PgH76-52,"['deficit 114', 'systematically defunded irs', 'enacted add deficit', 'small business taxpayer', 'legislation shield tax']"
CREC-2023-01-09-pt1-PgH76-53,"['gentleman', 'member ways means', 'kustoff', 'tennessee', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-54,"['harassment supercharged irs', 'business taxpayer protection', 'protecting taxpayers small', 'irs republicans unified', 'new irs agents']"
CREC-2023-01-09-pt1-PgH76-55,"['pascrell sure offer', 'clarity important issue', 'new jersey', 'gentleman new', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-56,"['republican budget', 'kidding gop plan', 'deficit chairman said', 'flood tax cheating', 'cuts left irs']"
CREC-2023-01-09-pt1-PgH76-57,"['gentleman', 'hern member', 'oklahoma', 'yield minute', 'ways means committee']"
CREC-2023-01-09-pt1-PgH76-58,"['irresponsible fiscal policies', 'democrats inflation reduction', 'irs audits mr', 'new taxes', '000 audits americans']"
CREC-2023-01-09-pt1-PgH76-59,"['capable member', 'gentleman', 'davis capable', 'yield minute', 'chicago']"
CREC-2023-01-09-pt1-PgH76-60,"['auditors look complex', 'taxpayers make sure', 'wealthy disadvantage poor', 'auditors look', 'need tax fair']"
CREC-2023-01-09-pt1-PgH76-61,"['audit rates taxpayers', 'funding irs capabilities', 'irs projected', 'resulting increase irs', 'audit rates levels']"
CREC-2023-01-09-pt1-PgH76-62,"['west virginia', 'yield minute', 'miller member', 'gentlewoman', 'ways means committee']"
CREC-2023-01-09-pt1-PgH76-63,"['taxpayers continued increase', 'scrutiny irs benefit', 'unnecessary taxes american', 'supercharging irs solely', 'auditing hardworking americans']"
CREC-2023-01-09-pt1-PgH76-64,"['individual knowledge economic', 'higgins individual', 'new york mr', 'yield minute', 'economic america unsurpassed']"
CREC-2023-01-09-pt1-PgH76-65,"['rejecting legislation protect', 'rejecting legislation', 'tax evading profits', 'trillion unpaid taxes', 'charles rettig irs']"
CREC-2023-01-09-pt1-PgH76-66,"['yield', 'california', 'minutes', 'gentlewoman', 'mrs steel']"
CREC-2023-01-09-pt1-PgH76-67,"['protect taxpayers', 'job irs serve', 'bloated weaponized irs', 'new audits enforcement', 'modernization billions taxpayer']"
CREC-2023-01-09-pt1-PgH76-68,"['people pay', 'gentlewoman alabama', 'yield minute gentlewoman', 'weaponizing billionaires', 'pay fair share']"
CREC-2023-01-09-pt1-PgH76-69,"['irs phone waiting', 'americans disproportionately audited', 'inflation reduction act', 'eitc compliance hurt', 'resources irs']"
CREC-2023-01-09-pt1-PgH76-70,"['mr', 'yield', 'moore', 'utah', 'minute']"
CREC-2023-01-09-pt1-PgH76-71,"['taxes talking represent', 'thousands irs employees', 'raise revenue ploy', 'irs support customer', 'directly raising taxes']"
CREC-2023-01-09-pt1-PgH76-72,"['member ways', 'california', 'ms chu capable', 'gentlewoman', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-73,"['share taxes vote', 'irs finally resources', 'reduction act irs', 'protect wealthy tax', 'irs year congressional']"
CREC-2023-01-09-pt1-PgH76-74,"['yield', 'new york', 'minute', 'gentlewoman new', 'ms tenney']"
CREC-2023-01-09-pt1-PgH76-75,"['irs nearly size', 'irs small businessowners', 'irs attempts encourage', '700 000 audits', 'new audits affect']"
CREC-2023-01-09-pt1-PgH76-76,"['wisconsin ms', 'moore capable member', 'yield minute', 'gentlewoman', 'ways means committee']"
CREC-2023-01-09-pt1-PgH76-77,"['going added irs', 'legislation protects tax', 'tax cheats conversation', 'starve irs americans', 'irs fewer agents']"
CREC-2023-01-09-pt1-PgH76-78,"['yield', 'spartz', 'indiana', 'minute', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-79,"['aggression american taxpayer', 'irs budget times', 'irs doubling', 'federal government spent', 'modernize irs']"
CREC-2023-01-09-pt1-PgH76-80,"['yield', 'mr', 'michigan', 'kildee', 'minute']"
CREC-2023-01-09-pt1-PgH76-81,"['deficit order business', 'inflation vote motion', 'congressional budget', 'billion national deficit', 'worker inflation reduction']"
CREC-2023-01-09-pt1-PgH76-84,"['mr', 'yield', 'virginia', 'cline', 'minute']"
CREC-2023-01-09-pt1-PgH76-85,"['voted supercharge irs', 'bureaucrats agents irs', 'americans expanded audit', 'repealing funding biden', 'auditors squeeze taxpayers']"
CREC-2023-01-09-pt1-PgH76-86,"['beyer', 'mr', 'successful businessman entrepreneur', 'yield minute', 'gentleman virginia']"
CREC-2023-01-09-pt1-PgH76-87,"['legislation cut necessary', 'billion deficit according', 'irs responsive people', 'vote misguided legislation', 'protect wealthy tax']"
CREC-2023-01-09-pt1-PgH76-88,"['inquire', 'time', 'inquire time', 'remaining', 'time remaining']"
CREC-2023-01-09-pt1-PgH76-90,"['yield', 'pennsylvania', 'gentleman', 'mr meuser', 'minutes']"
CREC-2023-01-09-pt1-PgH76-91,"['rise taxpayers bipartisan', 'size irs', 'close tax gap', 'increase number audits', 'irs agents targeting']"
CREC-2023-01-09-pt1-PgH76-92,"['pennsylvania', 'gentleman', 'evans distinguished member', 'ways means committee', 'yield minute']"
CREC-2023-01-09-pt1-PgH76-93,"['help american taxpayers', 'investment irs mr', 'irs funding protect', 'tax cheat act', 'reject republican tax']"
CREC-2023-01-09-pt1-PgH76-94,"['mr', 'yield', 'wisconsin', 'minute', 'grothman']"
CREC-2023-01-09-pt1-PgH76-95,"['600 employees assuming', 'increase times wisconsin', 'employees massachusetts', 'deal irs way', '1099s 2s come']"
CREC-2023-01-09-pt1-PgH76-97,"['mr schneider cpa', 'knows compliance', 'recruiting class', 'irs going simply', 'phones helpful step']"
CREC-2023-01-09-pt1-PgH76-98,"['new taxes higher', 'republican priority rewarding', 'deficit 114 billion', 'outrageous tax scam', 'inflation reduction act']"
CREC-2023-01-09-pt1-PgH76-99,"['mr', 'yield', 'texas', 'fallon', 'minute']"
CREC-2023-01-09-pt1-PgH76-100,"['billion inflation reduction', 'abiding american citizens', 'new agents military', 'irs agents effect', 'start new congress']"
CREC-2023-01-09-pt1-PgH76-101,"['years billion year', '87 000', 'service irs', 'irs mr speaker', 'replacement retire leave']"
CREC-2023-01-09-pt1-PgH76-102,"['tax dodgers pay', 'tax cheats defraud', 'investments crack tax', 'oppose government resources', 'debt wealthy tax']"
CREC-2023-01-09-pt1-PgH76-103,"['budget justification irs', 'president budget increase', '2022 budget cbo', 'revenues increased irs', 'cbo estimates proposals']"
CREC-2023-01-09-pt1-PgH76-104,"['yield', 'new york', 'minute', 'gentlewoman new', 'ms malliotakis']"
CREC-2023-01-09-pt1-PgH76-105,"['size fbi', 'agents stop traffickers', 'love taxes spending', 'audit harass america', '87 000 irs']"
CREC-2023-01-09-pt1-PgH76-106,"['chamber days', 'yield minute gentleman', 'chaos carried child', 'long', 'child grew inches']"
CREC-2023-01-09-pt1-PgH76-107,"['income tax 2020', 'tax credit need', 'presidency single audit', 'republicans handed tax', 'fairer tax ultrawealthy']"
CREC-2023-01-09-pt1-PgH76-108,"['yield', 'texas ms', 'minute', 'la cruz', 'gentlewoman']"
CREC-2023-01-09-pt1-PgH76-109,"['increased agents processing', 'provisions democrats hyperpartisan', 'agents squeezes american', 'small business taxpayer', '000 new irs']"
CREC-2023-01-09-pt1-PgH76-111,"['yield', 'texas', 'minute', 'gentlewoman', 'ms jackson lee']"
CREC-2023-01-09-pt1-PgH76-112,"['tax breaks ultra', 'small business taxpayer', 'taxpayer services firmly', 'effort republicans tax', 'tax code passage']"
CREC-2023-01-09-pt1-PgH76-113,"['yield', 'york', 'lawler', 'minute gentleman']"
CREC-2023-01-09-pt1-PgH76-114,"['income taxes', 'democrats fund control', 'target hardworking taxpayers', 'doubling size irs', 'irs agents going']"
CREC-2023-01-09-pt1-PgH76-115,"['yield', 'california', 'cpa believe', 'mr sherman', 'minute gentleman']"
CREC-2023-01-09-pt1-PgH76-116,"['bipartisan secretaries treasury', 'increase national debt', 'people evade taxes', '2s 1099s republicans', 'taxes staffed irs']"
CREC-2023-01-09-pt1-PgH76-117,"['heard concern debt', 'expect irs better', 'concern debt', 'serve taxpayers taxpayers', 'overpaying complexity tax']"
CREC-2023-01-09-pt1-PgH76-118,"['joe biden', 'presidential audit', 'taxes irs', 'overpaid taxes hope', 'democratic president overpaid']"
CREC-2023-01-09-pt1-PgH76-119,"['cheaters billionaires giant', 'corporations pay fair', 'taxes average', 'cheat hardworking americans', 'taxes amazon chevron']"
CREC-2023-01-09-pt1-PgH76-120,"['000 agents retire', 'teachers doing irs', 'hounding innocent taxpayers', 'taxpayers america make', 'irs agents knocking']"
CREC-2023-01-09-pt1-PgH76-121,"['benefits covid', 'way taxpaying americans', 'voluntary tax compliance', 'covid customer', 'service reform']"
CREC-2023-01-09-pt1-PgH76-122,"['house republicans protecting', 'tax cheats avoid', 'inflation reduction act', 'urge republican colleagues', 'irs remains underfunded']"
CREC-2023-01-09-pt1-PgH76-123,"['sophisticated tax cheats', 'process tax refunds', 'cuts republicans congress', 'democrats passed inflation', 'efficiencies hardworking taxpayers']"
CREC-2023-01-09-pt1-PgH76-124,"['service bolster taxpayer', 'disproportionately federal revenues', 'republicans tax breaks', 'enforcement tax ira', 'inflation reeducation act']"
CREC-2023-01-09-pt1-PgH76-126,"['recommit', 'motion', 'desk', 'motion recommit', 'recommit desk']"
CREC-2023-01-09-pt1-PgH76-135,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-09-pt1-PgH94-4-7,"['24', 'yea', 'rollcall', 'voted yea']"
CREC-2023-01-09-pt1-PgH94-4-10,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-09-pt1-PgH94-4-16,"['25', 'voted', 'rollcall', 'nay']"
CREC-2023-01-10-pt1-PgE13-2-2,"['congress disapproval resolutions', 'kafkaesque legislative process', 'review period legislation', 'district columbia legislative', 'legislative home rule']"
CREC-2023-01-10-pt1-PgE7-3-2,"['agency water infrastructure', 'clean public financing', 'california state water', 'clean watersheds needs', 'investment wastewater treatment']"
CREC-2023-01-11-pt1-PgE20-2,"['legislation help', 'increases affordable', 'consolidated appropriations act', 'housing funding percent', 'children medicaid']"
CREC-2023-01-11-pt1-PgH165-5-1,"['violence healthcare', 'short condemning violence', 'abortion federation report', 'pro choice caucus', 'clinics provide abortion']"
CREC-2023-01-11-pt1-PgH168-4-1,"['yes threat human', 'concern attacks', 'assaulting patients', 'vandalism destruction', 'providing abortions']"
CREC-2023-01-11-pt1-PgH168-1,"['intimidation individuals need', 'pro abortion', 'condemn attacks', 'violence extremists rule', 'abortion activists day']"
CREC-2023-01-11-pt1-PgH178-0,"['pursuant house resolution', 'amend title', 'care practitioner failing', 'abortion ask', 'code prohibit health']"
CREC-2023-01-11-pt1-PgH178-9,"['extend remarks enter', 'consent', 'ask unanimous', 'members legislative', 'days revise extend']"
CREC-2023-01-11-pt1-PgH178-12,"['decision roe wade', 'virginia stated infant', 'following abortion kids', 'born alive protected', 'provides mother abortion']"
CREC-2023-01-11-pt1-PgH178-13,"['protecting infants republican', 'alive abortion survivors', 'provider performs abortion', 'abortion directly interfere', 'nationwide ban abortion']"
CREC-2023-01-11-pt1-PgH178-14,"['minutes gentlewoman state', 'bipartisan', 'legislation worked tirelessly', 'missouri mrs', 'wagner sponsor legislation']"
CREC-2023-01-11-pt1-PgH178-15,"['abortions child', 'vulnerable americans unborn', 'considering protection infants', 'survived abortions entered', 'care babies survive']"
CREC-2023-01-11-pt1-PgH178-16,"['jeffries', 'distinguished minority', 'new york mr', 'leader house', 'yield minute']"
CREC-2023-01-11-pt1-PgH178-17,"['republican colleagues promised', 'issue 118th congress', 'reiterate democrats look', 'oppose extreme maga', 'agenda getting substance']"
CREC-2023-01-11-pt1-PgH178-18,"['birthday governor', 'roe', 'children right birth', 'able life unborn', 'position roe wade']"
CREC-2023-01-11-pt1-PgH178-19,"['survives abortion attempt', 'term abortion baby', 'alive abortion clinic', 'abortion infant requires', 'abortion survivors protection']"
CREC-2023-01-11-pt1-PgH178-21,"['pennsylvania', 'judiciary', 'gentlewoman', 'yield minute', 'ms dean member']"
CREC-2023-01-11-pt1-PgH178-22,"['decisions legislators doctors', 'crime kill child', 'killing infants serving', 'child born fatal', 'people outlawing abortions']"
CREC-2023-01-11-pt1-PgH178-23,"['yield', 'wisconsin', 'mr van', 'orden', 'minute gentleman']"
CREC-2023-01-11-pt1-PgH178-24,"['combatant battlefield wounded', 'law render medical', 'medic navy seal', 'innocent unborn child', 'woman access abortion']"
CREC-2023-01-11-pt1-PgH178-25,"['pennsylvania ms', 'yield minute', 'judiciary', 'scanlon member', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-26,"['unwanted pregnancies term', 'facing pregnancy', 'criminalize doctors politicians', 'criminalize women healthcare', 'congress attack abortion']"
CREC-2023-01-11-pt1-PgH178-27,"['friend', 'yield', 'tennessee', 'minute gentleman', 'mr burchett']"
CREC-2023-01-11-pt1-PgH178-28,"['denying science', 'little babies said', 'abortion talking', 'mama babies born', 'babies deserve chance']"
CREC-2023-01-11-pt1-PgH178-29,"['delauro ranking member', 'connecticut', 'yield minute', 'distinguished gentlewoman', 'appropriations committee']"
CREC-2023-01-11-pt1-PgH178-30,"['reproductive freedom ruse', 'risk pregnancy viable', 'percent abortions occur', 'callous truth abortions', 'legal abortions country']"
CREC-2023-01-11-pt1-PgH178-31,"['mr', 'yield', 'florida', 'bilirakis', 'minute']"
CREC-2023-01-11-pt1-PgH178-32,"['abortions mr', 'attempted abortion resulting', 'second victims abortion', 'abortions mr speaker', 'abortion survivors protection']"
CREC-2023-01-11-pt1-PgH178-33,"['judiciary', 'yield minutes distinguished', 'lee member', 'distinguished gentlewoman', 'texas ms jackson']"
CREC-2023-01-11-pt1-PgH178-34,"['passed bipartisan born', 'medicine states baby', 'abortion survivors protection', 'today quotes condemnation', 'giving mercy']"
CREC-2023-01-11-pt1-PgH178-35,"['meeks', 'miller', 'yield', 'minutes', 'gentlewoman iowa mrs']"
CREC-2023-01-11-pt1-PgH178-36,"['exempt newborns', 'care babies born', 'infanticide 26 legislation', 'abortion treated differently', 'survive abortion procedure']"
CREC-2023-01-11-pt1-PgH178-37,"['yield', 'florida', 'minute', 'gentlewoman', 'ms lois frankel']"
CREC-2023-01-11-pt1-PgH178-38,"['healthcare decisions including', 'republican agenda standing', 'politicians make healthcare', 'reject extreme republican', 'abortion misleading offensively']"
CREC-2023-01-11-pt1-PgH178-39,"['mr', 'yield', 'louisiana', 'scalise', 'minute']"
CREC-2023-01-11-pt1-PgH178-40,"['abortion debate dobbs', 'abortion survivors', 'womb murder protecting', 'inhumane transcends abortion', 'kill baby legal']"
CREC-2023-01-11-pt1-PgH178-41,"['law kill infant', 'babies born alive', 'illegal provide infant', 'health survival infant', 'infants protection act']"
CREC-2023-01-11-pt1-PgH178-42,"['criminalize doctors', 'fetal anomaly unnecessary', 'decisions patients healthcare', 'congress conservative extremists', 'reproductive freedom']"
CREC-2023-01-11-pt1-PgH178-43,"['time', 'reserve', 'balance', 'reserve balance', 'balance time']"
CREC-2023-01-11-pt1-PgH178-44,"['yield', 'texas', 'minute', 'distinguished gentlewoman', 'mrs fletcher']"
CREC-2023-01-11-pt1-PgH178-45,"['patients afraid misleading', 'criminalizing healthcare course', 'provide reproductive healthcare', 'misleading bills', 'assault health rights']"
CREC-2023-01-11-pt1-PgH178-46,"['time', 'reserve', 'balance', 'reserve balance', 'balance time']"
CREC-2023-01-11-pt1-PgH178-47,"['yield', 'california ms', 'chu', 'minute', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-48,"['democrats efforts provide', 'new parent republicans', 'perpetuate disinformation abortion', 'bills thrilled bipartisan', 'right abortion']"
CREC-2023-01-11-pt1-PgH178-49,"['yield', 'mr', 'aderholt', 'alabama', 'minute']"
CREC-2023-01-11-pt1-PgH178-50,"['ensures babies survive', 'bipartisan', 'child infanticide law', 'eye abortion survivors', 'commonsense lifesaving legislation']"
CREC-2023-01-11-pt1-PgH178-51,"['ms', 'yield minute', 'illinois', 'schakowsky', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-52,"['born infant', 'illegal care born', 'infanticide murder heard', 'effort make abortion', 'abortion providers required']"
CREC-2023-01-11-pt1-PgH178-53,"['house floor', 'minutes', 'speech', 'houchin', 'gentlewoman indiana mrs']"
CREC-2023-01-11-pt1-PgH178-54,"['support born alive', 'botched abortion commonsense', 'saving lives babies', 'pro life legislation', 'position abortion demand']"
CREC-2023-01-11-pt1-PgH178-55,"['york', 'yield', 'goldman', 'minute gentleman']"
CREC-2023-01-11-pt1-PgH178-56,"['talk freedom specifically', 'freedom core', 'fundamental freedom', 'autonomy women autonomy', 'demand individual freedom']"
CREC-2023-01-11-pt1-PgH178-57,"['gentleman', 'new jersey', 'yield minutes gentleman', 'pro life cause', 'smith longtime champion']"
CREC-2023-01-11-pt1-PgH178-58,"['babies delivered killed', 'abortion little known', 'florida abortion', 'ensuring fetal demise', 'abortion survivors protection']"
CREC-2023-01-11-pt1-PgH178-59,"['yield', 'mr', 'new york', 'espaillat', 'minute distinguished']"
CREC-2023-01-11-pt1-PgH178-60,"['oppose 26', 'policing bodies women', 'reproductive freedom mr', 'safety children illegal', 'america reproductive age']"
CREC-2023-01-11-pt1-PgH178-61,"['good friend', 'yield', 'mr good', 'virginia', 'minute']"
CREC-2023-01-11-pt1-PgH178-62,"['life womb americans', 'condemn violence pregnancy', 'abortion attempt mother', 'debate defend life', 'heinous practice abortion']"
CREC-2023-01-11-pt1-PgH178-63,"['ms', 'california', 'yield minute', 'kamlager dove', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-64,"['2023 know protection', 'republican party attack', 'republicans continued desire', 'roe wade bans', 'doctors nationwide abortion']"
CREC-2023-01-11-pt1-PgH178-65,"['yield', 'mr', 'johnson', 'minutes', 'louisiana']"
CREC-2023-01-11-pt1-PgH178-66,"['failed abortion infant', 'beating abortion provider', 'care abortionists', 'abortion baby come', 'abortion survivors protection']"
CREC-2023-01-11-pt1-PgH178-67,"['yield', 'scholten', 'minute', 'michigan ms', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-68,"['regulate protect families', 'personal faith informs', 'say government womb', 'placed mother womb', 'pro choice christian']"
CREC-2023-01-11-pt1-PgH178-69,"['west', 'miller', 'yield minutes', 'gentlewoman', 'virginia mrs']"
CREC-2023-01-11-pt1-PgH178-70,"['abortion receive', 'attempted abortion murder', 'survives abortion', 'babies killed birth', 'legislation protects babies']"
CREC-2023-01-11-pt1-PgH178-71,"['time', 'reserve', 'balance', 'reserve balance', 'balance time']"
CREC-2023-01-11-pt1-PgH178-72,"['yield', 'minute', 'foxx', 'north carolina ms', 'gentlewoman']"
CREC-2023-01-11-pt1-PgH178-73,"['children support abortions', 'abortion intentional', 'abortions ignore fact', 'having abortion', 'abortion does affect']"
CREC-2023-01-11-pt1-PgH178-74,"['ms', 'yield minutes', 'colorado', 'degette', 'distinguished gentlewoman']"
CREC-2023-01-11-pt1-PgH178-75,"['house republicans just', 'plan criminalize abortion', 'providers don republicans', 'overwhelmingly reject gop', 'woman access abortion']"
CREC-2023-01-11-pt1-PgH178-77,"['additional', 'yield', 'minute', 'gentlewoman', 'gentlewoman additional']"
CREC-2023-01-11-pt1-PgH178-78,"['prior vote motion', 'reproductive care need', 'abortion care place', 'text amendment', 'dobbs decision american']"
CREC-2023-01-11-pt1-PgH178-81,"['mr', 'yield', 'cline', 'minutes', 'great state virginia']"
CREC-2023-01-11-pt1-PgH178-82,"['born alive protected', 'attempted abortion', 'alive protected baby', 'abortion procedures', 'abortion afforded constitutional']"
CREC-2023-01-11-pt1-PgH178-83,"['plan criminalize abortion', 'new protect infants', 'lives health newborn', 'attempted abortion law', 'babies alive republicans']"
CREC-2023-01-11-pt1-PgH178-84,"['experiment freedom', 'declaration independence talks', 'liberty unless government', 'right life legislation', 'liberty pursuit happiness']"
CREC-2023-01-11-pt1-PgH178-86,"['recommit', 'motion', 'desk', 'motion recommit', 'recommit desk']"
CREC-2023-01-11-pt1-PgH178-101,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-11-pt1-PgH190-4-8,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-12-pt1-PgE24-2-2,"['care republican agenda', 'reproductive health policies', 'extremist anti abortion', 'demonization reproductive healthcare', 'criminalizing abortion nationwide']"
CREC-2023-01-17-pt1-PgE31-3-3,"['attorney office congress', 'congress let enforce', 'passed district columbia', 'prosecute crimes residents', 'prosecutor home rule']"
CREC-2023-01-17-pt1-PgE34-2-2,"['leasing authority general', 'revoking authority sec', 'stripping sec leasing', 'lease concerns sec', 'leasing authority congress']"
CREC-2023-01-24-pt1-PgE44-2-1,"['oil china house', 'exports crude oil', 'sanctions republicans really', 'country sanctions republicans', 'oil china increased']"
CREC-2023-01-24-pt1-PgE49-2,"['perpetual judicial vacancy', 'district columbia', 'nominees federal courts', 'courts statehood home', 'introduce district columbia']"
CREC-2023-01-24-pt1-PgH258-10-0,"['based reforms', 'hiring replace degree', 'suspend rules', '159 implement merit', 'civil service hiring']"
CREC-2023-01-24-pt1-PgH258-10-15,"['consent', 'extraneous material measure', 'members legislative', 'ask unanimous', 'days revise extend']"
CREC-2023-01-24-pt1-PgH258-10-18,"['candidates positions', 'federal civil service', '2023 ensures agencies', 'assessments candidates reintroduced', 'job proficiency']"
CREC-2023-01-24-pt1-PgH258-10-19,"['bipartisan chance compete', 'determine candidate qualifications', 'assessment candidates', 'process hiring federal', 'compete act bipartisan']"
CREC-2023-01-24-pt1-PgH258-10-20,"['yield', 'minutes', 'foxx', 'north carolina ms', 'gentlewoman']"
CREC-2023-01-24-pt1-PgH258-10-21,"['seriously undermines federal', 'field candidates focus', 'agree hardworking taxpaying', 'taxpaying american deserves', 'federal hiring process']"
CREC-2023-01-24-pt1-PgH258-10-22,"['speaker urge support', 'closing', 'committee salute chairman', 'bipartisan legislation auspicious', 'balance time closing']"
CREC-2023-01-24-pt1-PgH258-10-23,"['commonsense aimed', 'federal government mr', 'skills job american', 'deserve federal government', 'hiring applicants']"
CREC-2023-01-24-pt1-PgH258-10-24,"['competitive civil service', 'civil service hiring', 'skill competency grant', 'make skills competency', 'apprenticeship programs increasingly']"
CREC-2023-01-24-pt1-PgH258-10-25,"['evaluate candidates way', 'compete act', 'workforce bipartisan support', 'skill assessments build', 'federal internships']"
CREC-2023-01-24-pt1-PgH258-10-29,"['demand', 'yeas', 'nays', 'demand yeas', 'yeas nays']"
CREC-2023-01-24-pt1-PgH262-0,"['states code', 'code require publication', 'pass 300 amend', 'amend chapter title', 'settlement agreements purposes']"
CREC-2023-01-24-pt1-PgH262-11,"['consent', 'extraneous material measure', 'members legislative', 'ask unanimous', 'days revise extend']"
CREC-2023-01-24-pt1-PgH262-14,"['release information settlements', 'settlement currently agencies', 'impact settlement agreements', 'decisions federal settlements', 'information settlements discretion']"
