matching_idx,policy_area,subtopic_1,subtopic_2
98,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
99,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
100,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
101,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
102,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
103,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
104,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
105,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
106,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
107,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
108,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
109,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
110,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
111,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
112,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
113,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
114,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
115,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
116,Government Operations and Politics,Strengthening Government Accountability,Electoral Voting Authority
117,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
118,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
119,Government Operations and Politics,Strengthening Government Accountability,Electoral Voting Reform
120,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
121,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
122,Government Operations and Politics,Increasing Election Security Measures,Election Process Integrity
123,Government Operations and Politics,Strengthening Government Accountability,Electoral College Results
124,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
125,Government Operations and Politics,Increasing Election Security Measures,Election Security
126,Government Operations and Politics,Increasing Election Security Measures,Voter Fraud Reform
127,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
128,Government Operations and Politics,Strengthening Government Accountability,Constitutional Authority
129,Government Operations and Politics,Strengthening Government Accountability,Democracy Preservation
130,Government Operations and Politics,Increasing Election Security Measures,Voter Fraud Prevention
131,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
132,Government Operations and Politics,Voting Rights Expansion,Voting Rights
133,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
134,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
135,Government Operations and Politics,Strengthening Government Accountability,Democracy First
136,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Reform
137,Government Operations and Politics,Strengthening Government Accountability,Constitutional Rights
138,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
139,Government Operations and Politics,Increasing Election Security Measures,Election Fraud Investigation
140,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
141,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
142,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
143,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
144,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
145,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
146,Government Operations and Politics,Increasing Election Security Measures,Election Integrity
147,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
148,Government Operations and Politics,Strengthening Government Accountability,Electoral Voting Rights
149,Government Operations and Politics,Increasing Election Security Measures,Election Security
150,Government Operations and Politics,Strengthening Government Accountability,Constitution Protection
151,Government Operations and Politics,Strengthening Government Accountability,Democracy in Pennsylvania
152,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
153,Government Operations and Politics,Strengthening Government Accountability,Democracy in the 21st Century
154,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
155,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights
156,Government Operations and Politics,Voting Rights Expansion,Voting Rights Reform
157,Government Operations and Politics,Strengthening Government Accountability,Democracy Protection
158,Government Operations and Politics,Strengthening Government Accountability,Democracy in the 21st Century
159,Government Operations and Politics,Strengthening Government Accountability,Administration Change
160,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
161,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
162,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
163,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
164,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
165,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
166,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
167,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
168,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
169,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
170,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
171,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
172,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
173,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
174,Government Operations and Politics,Strengthening Government Accountability,Electoral Appointment Authority
175,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
176,Government Operations and Politics,Increasing Election Security Measures,Election Fraud Prevention
177,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
178,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
179,Government Operations and Politics,Increasing Electoral Vote Transparency,Electoral Vote Transparency
180,Government Operations and Politics,Strengthening Government Accountability,Joint Session Dissolution
181,Government Operations and Politics,Strengthening Government Accountability,Inspector General Independence
182,Transportation and Public Works,Increasing Infrastructure Investment,Rural Infrastructure Investment
183,Health,Expanding Health Equity Initiatives,Medicaid Equity
184,Law,Increasing Judicial Transparency,D.C. Home Rule
185,Government Operations and Politics,Strengthening Government Accountability,Cloud Computing Technology
186,Immigration,Expanding Immigration Protections,DACA Protections
187,Government Operations and Politics,Expanding D.C. Statehood Rights,D.C. Legislative Autonomy
188,Labor and Employment,Expanding Apprenticeship Access,Autonomous Vehicle Innovation
189,Agriculture and Food,Increasing Food Accessibility,Invasive Species Protection
190,Taxation,Expanding Tax Incentives Accountability,Bicycle Commuter Tax Benefits
191,Education,Increasing Education Funding,Civics Education Funding
192,Transportation and Public Works,Aviation Safety Oversight Expansions,Commercial Air Safety Regulations
193,Transportation and Public Works,Increasing Transportation Funding,Bikeshare Funding Support
194,Transportation and Public Works,Increasing Transportation Funding,Road User Charge Funding
195,Health,Expanding Health Equity Initiatives,Breast Reconstruction Access
196,Agriculture and Food,Increasing Food Accessibility,Foreign-sourced Food Purchasing Regulations
197,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Auschwitz Memorial Day
198,International Affairs,Expanding Human Rights Protections,Gender-based Violence Prevention
199,Immigration,Expanding Immigration Amnesty,Immigration Reform
200,Government Operations and Politics,Strengthening Government Accountability,Special District Support
201,Armed Forces and National Security,Misc.,Misc.
202,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Parole Authority for D.C. Offenders
203,Government Operations and Politics,Expanding D.C. Statehood Rights,Federalization of D.C. Police
204,Government Operations and Politics,Strengthening Government Accountability,Security Reform
205,International Affairs,Misc.,Misc.
206,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Expansion
207,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
208,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
209,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
210,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
211,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Reform
212,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
213,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
214,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Reform
215,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Reform
216,Labor and Employment,Expanding Workforce Development Initiatives,Criminal Justice Reform
217,Labor and Employment,Expanding Union Rights,Labor Union Protection
218,Labor and Employment,Expanding Union Rights,Unionization Rights
219,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
220,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
221,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding
222,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
223,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Expansion
224,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
225,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
226,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
227,Labor and Employment,Expanding Workforce Development Initiatives,Workers' Wages
228,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
229,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding
230,Labor and Employment,Expanding Union Rights,Union Rights Protection
231,Labor and Employment,Strengthening Worker Rights,Worker Rights
232,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
233,Labor and Employment,Expanding Union Rights,Union Accountability
234,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
235,Labor and Employment,Expanding Workforce Development Initiatives,Reskilling Skills Gap
236,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding
237,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding
238,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
239,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
240,Labor and Employment,Expanding Workforce Development Initiatives,Workforce Development Initiatives
241,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
242,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
243,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Reform
244,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
245,Labor and Employment,Expanding Apprenticeship Access,National Apprenticeship Act Opposition
246,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding
247,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
248,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Expansion
249,Labor and Employment,Expanding Workforce Development Initiatives,Job Corps Reform
250,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Expansion
251,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
252,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
253,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
254,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
255,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
256,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
257,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
258,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Expansion
259,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
260,Labor and Employment,Expanding Pay Equity Legislation,Pay Equity Legislation
261,Labor and Employment,Expanding Workforce Development Initiatives,Workforce Development Initiatives
262,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
263,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
264,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
265,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
266,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
267,Labor and Employment,Expanding Union Rights,Union Funding Restrictions
268,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Grant Partnerships
269,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
270,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
271,Labor and Employment,Expanding Workforce Development Initiatives,Workforce Development Funding
272,Labor and Employment,Expanding Union Rights,Unions' Rights
273,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Expansion
274,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
275,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
276,Labor and Employment,Expanding Workforce Development Initiatives,Apprenticeship Funding Cuts
277,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
278,Labor and Employment,Expanding Workforce Development Initiatives,Workforce Development Initiatives
279,Labor and Employment,Expanding Apprenticeship Access,Apprenticeship Access
280,Congress,Misc.,Misc.
281,Government Operations and Politics,Strengthening Government Accountability,Language Access to Health Care
282,Congress,Strengthening Capitol Security Measures,Capitol Security Measures
283,International Affairs,Misc.,Misc.
284,Congress,Strengthening Capitol Security Measures,Officer Eugene Goodman Award
285,Congress,Strengthening Capitol Security Measures,Capitol Police Recognition
286,Congress,Strengthening Capitol Security Measures,Capitol Security Funding
287,Congress,Misc.,Misc.
288,Finance and Financial Sector,Financial Accountability Expansion,World War II Memorial Funding
289,Education,Increasing Education Funding,Gun Violence Assistance for Teachers
290,Public Lands and Natural Resources,Expanding National Heritage Protections,Statue Removal
291,International Affairs,Misc.,Misc.
292,Government Operations and Politics,Strengthening Government Accountability,Statue Removal
293,International Affairs,Increasing Foreign Aid Accountability,Refugee Sanitation Access
294,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Federal Police Body Cameras
295,Government Operations and Politics,Strengthening Government Accountability,D.C. Home Rule Authority
296,Public Lands and Natural Resources,Expanding Commemorative Recognition,Memorial Removal
297,Education,Expanding Mental Health Services,Corporal Punishment Ban
298,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Electronic Communications Regulation
299,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Attorney Client Privilege Protection
300,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Attorney Client Privilege Protection
301,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Attorney-Client Privilege
302,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Attorney Client Privilege
303,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Support for Criminal Justice Reform
304,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Attorney Client Privilege Protection
305,Law,Cutting Forced Arbitration Rights,Force Arbitration Rights
306,Law,Increasing Judicial Transparency,Financial Restructuring Transparency
307,Law,Misc.,Misc.
308,Law,Misc.,Misc.
309,Law,Misc.,Misc.
310,Law,Increasing Judicial Transparency,Transparency in Financial Oversight
311,Law,Misc.,Misc.
312,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality Rights
313,Immigration,Expanding Immigration Amnesty,Immigration Reform
314,Public Lands and Natural Resources,Expanding National Heritage Protections,Statue Removal
315,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
316,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality Rights
317,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Rights
318,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Civil Rights
319,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Abortion Rights
320,"Civil Rights and Liberties, Minority Issues",Expanding Marriage Equality Rights,Gay Marriage Rights
321,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Gender Equity in Education
322,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Civil Rights
323,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Abortion Rights
324,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Support
325,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality
326,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBT Civil Rights Rights
327,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
328,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Abortion Rights
329,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equal Rights for All
330,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Rights
331,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
332,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Rights
333,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Civil Rights Advancement
334,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protections
335,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
336,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
337,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Unborn Child Rights
338,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
339,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQIA Rights
340,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality Rights
341,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality
342,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Gender Identity Policy
343,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
344,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
345,"Civil Rights and Liberties, Minority Issues",Expanding Marriage Equality Rights,Housing Equality
346,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Equality Rights
347,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Civil Rights Protection
348,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Civil Rights Act of 1964
349,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
350,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality Rights
351,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Rights
352,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Equality
353,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Civil Rights for All
354,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protections
355,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Opposition
356,"Civil Rights and Liberties, Minority Issues",Expanding Marriage Equality Rights,Equity and Equality
357,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
358,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Civil Rights
359,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Support
360,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights Protection
361,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights Rights
362,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Equality
363,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equity for All
364,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Opposition
365,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Civil Rights Protection
366,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Opposition
367,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
368,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
369,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Rights
370,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Rights
371,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Transgender Rights
372,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
373,"Civil Rights and Liberties, Minority Issues",Expanding Religious Freedom Protections,Religious Freedom Protection
374,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Discrimination Rights
375,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Equality Act Support
376,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,LGBTQ Civil Rights Protection
